lane_id,lane_name,node_id,count_id,lat,lon,local_x,local_y,point_index,north_west_south_east,in_ring_out,projected_x,projected_y
3606,NorthEntry,3569,0,43.47784044447,-80.54853034327,36512.1273,13979.3703,0,0,0,536512.1272999012,4813979.370258355
3606,NorthEntry,3570,1,43.47783251119,-80.54852497785,36512.566,13978.4916,1,0,0,536512.5660000403,4813978.491558424
3606,NorthEntry,3571,2,43.47782457881,-80.54851961366,36513.0046,13977.613,2,0,0,536513.0046002724,4813977.612957934
3606,NorthEntry,3572,3,43.47781664553,-80.54851424825,36513.4433,13976.7343,3,0,0,536513.4432998274,4813976.734258056
3606,NorthEntry,3573,4,43.47780871225,-80.54850888407,36513.8819,13975.8556,4,0,0,536513.8819000204,4813975.855557667
3606,NorthEntry,3574,5,43.47780077987,-80.54850351865,36514.3206,13974.977,5,0,0,536514.3206000678,4813974.9769578045
3606,NorthEntry,3575,6,43.4777928466,-80.54849815448,36514.7592,13974.0983,6,0,0,536514.7591996707,4813974.098258581
3606,NorthEntry,3576,7,43.47778491421,-80.54849278906,36515.1979,13973.2197,7,0,0,536515.1978999489,4813973.219657664
3606,NorthEntry,3577,8,43.47777698539,-80.54848741249,36515.6375,13972.3415,8,0,0,536515.637499938,4813972.341458145
3606,NorthEntry,3578,9,43.47776906547,-80.54848200989,36516.0792,13971.4643,9,0,0,536516.079199834,4813971.464258482
3606,NorthEntry,3579,10,43.47776114644,-80.54847660604,36516.521,13970.5872,10,0,0,536516.521000399,4813970.587158239
3606,NorthEntry,3580,11,43.47775322652,-80.54847120345,36516.9627,13969.71,11,0,0,536516.9626997112,4813969.7099586325
3606,NorthEntry,3581,12,43.47774530749,-80.54846580084,36517.4044,13968.8329,12,0,0,536517.4044002194,4813968.832857904
3606,NorthEntry,3582,13,43.47773738757,-80.54846039825,36517.8461,13967.9557,13,0,0,536517.8460997596,4813967.955658358
3606,NorthEntry,3583,14,43.47772946854,-80.54845499565,36518.2878,13967.0786,14,0,0,536518.287799686,4813967.078557682
3606,NorthEntry,3584,15,43.47772154862,-80.54844959305,36518.7295,13966.2014,15,0,0,536518.7295002628,4813966.201358199
3606,NorthEntry,3585,16,43.4777136287,-80.54844419046,36519.1712,13965.3242,16,0,0,536519.1712001422,4813965.324158739
3606,NorthEntry,3586,17,43.47770570967,-80.54843878663,36519.613,13964.4471,17,0,0,536519.612999884,4813964.4470586935
3606,NorthEntry,3587,18,43.47769778974,-80.54843338404,36520.0547,13963.5699,18,0,0,536520.0546999985,4813963.569858182
3606,NorthEntry,3588,19,43.47768987071,-80.54842798145,36520.4964,13962.6928,19,0,0,536520.4963996824,4813962.692757651
3606,NorthEntry,3589,20,43.47768195079,-80.54842257886,36520.9381,13961.8156,20,0,0,536520.9381000177,4813961.815558311
3606,NorthEntry,3590,21,43.47767403176,-80.54841717627,36521.3798,13960.9385,21,0,0,536521.3797999296,4813960.93845784
3606,NorthEntry,3591,22,43.47766611184,-80.54841177369,36521.8215,13960.0613,22,0,0,536521.8214996811,4813960.0612585535
3606,NorthEntry,3592,23,43.47765819191,-80.54840636987,36522.2633,13959.1841,23,0,0,536522.2632998379,4813959.184058729
3606,NorthEntry,3593,24,43.47765027288,-80.54840096728,36522.705,13958.307,24,0,0,536522.7050000891,4813958.306958345
3606,NorthEntry,3594,25,43.47764235296,-80.54839556594,36523.1466,13957.4298,25,0,0,536523.1465998982,4813957.429758603
3606,NorthEntry,3595,26,43.47763443126,-80.54839017079,36523.5877,13956.5524,26,0,0,536523.5877002804,4813956.552358492
3606,NorthEntry,3596,27,43.47762650955,-80.54838477441,36524.0289,13955.675,27,0,0,536524.0289002579,4813955.674957839
3606,NorthEntry,3597,28,43.47761858785,-80.54837937927,36524.47,13954.7976,28,0,0,536524.470000058,4813954.797557782
3606,NorthEntry,3598,29,43.47761066615,-80.54837398413,36524.9111,13953.9202,29,0,0,536524.9110999723,4813953.920157756
3606,NorthEntry,3599,30,43.47760274445,-80.54836858775,36525.3523,13953.0428,30,0,0,536525.3523002829,4813953.042758302
3606,NorthEntry,3600,31,43.47759482275,-80.54836319262,36525.7934,13952.1654,31,0,0,536525.7933996143,4813952.165358329
3606,NorthEntry,3601,32,43.47758690104,-80.54835779624,36526.2346,13951.288,32,0,0,536526.2346001585,4813951.287957823
3606,NorthEntry,3602,33,43.47757897934,-80.54835240111,36526.6757,13950.4106,33,0,0,536526.6756997176,4813950.410557909
3606,NorthEntry,3603,34,43.47757105764,-80.54834700597,36527.1168,13949.5332,34,0,0,536527.1168001965,4813949.5331580285
3606,NorthEntry,3604,35,43.47756313594,-80.5483416096,36527.558,13948.6558,35,0,0,536527.5580002661,4813948.655758718
3606,NorthEntry,3605,36,43.47755521423,-80.54833621447,36527.9991,13947.7784,36,0,0,536527.9991001701,4813947.7783577815
3606,NorthEntry,3607,37,43.47754855863,-80.54833448845,36528.1427,13947.04,37,0,0,536528.1427003498,4813947.039958689
3606,NorthEntry,3608,38,43.47754190392,-80.54833276243,36528.2863,13946.3017,38,0,0,536528.2863000236,4813946.301658443
3606,NorthEntry,3609,39,43.47753524921,-80.54833103641,36528.4299,13945.5634,39,0,0,536528.4298997263,4813945.5633582
3606,NorthEntry,3610,40,43.47752859451,-80.54832931162,36528.5734,13944.8251,40,0,0,536528.573399979,4813944.825058531
3606,NorthEntry,3611,41,43.4775219398,-80.5483275856,36528.717,13944.0868,41,0,0,536528.7169997421,4813944.086758297
3606,NorthEntry,3612,42,43.47751528509,-80.54832585957,36528.8606,13943.3485,42,0,0,536528.8606003451,4813943.348458069
