26.9237,-41.372,-2.6668,0,5,0,0.0
-20.5522,-84.4668,0.459632,0,5.5,1,0.0
48.2815,-55.228,1.60969,0,6,2,0.0
31.5443,-70.2872,0.184073,0,5,3,0.0
55.2121,-36.6107,-1.16209,0,0.5,4,0.0
26.9237,-41.372,-2.6668,0,5,0,0.1
-20.5522,-84.4668,0.459632,0,5.5,1,0.1
48.2815,-55.228,1.60969,0,6,2,0.1
31.5443,-70.2872,0.184073,0,5,3,0.1
55.2121,-36.6107,-1.16209,0,0.5,4,0.1
26.9237,-41.372,-2.6668,0,5,0,0.2
-20.5522,-84.4668,0.459632,0,5.5,1,0.2
48.2815,-55.228,1.60969,0,6,2,0.2
31.5443,-70.2872,0.184073,0,5,3,0.2
55.2121,-36.6107,-1.16209,0,0.5,4,0.2
26.9237,-41.372,-2.6668,0,5,0,0.3
-20.5522,-84.4668,0.459632,0,5.5,1,0.3
48.2815,-55.228,1.60969,0,6,2,0.3
31.5443,-70.2872,0.184073,0,5,3,0.3
55.2121,-36.6107,-1.16209,0,0.5,4,0.3
26.4874,-41.5977,-2.65902,0.127088,4.82357,0,0.4
-20.0687,-84.2274,0.459647,0.000220055,5.2906,1,0.4
48.255,-54.647,1.6298,0.275981,5.63231,2,0.4
32.0401,-70.1947,0.185503,0.0226186,5.0865,3,0.4
55.237,-36.6681,-1.16207,0.00200836,0.75164,4,0.4
26.0632,-41.8244,-2.64163,0.16022,4.79671,0,0.5
-19.5933,-83.9921,0.459673,0.000177154,5.31813,1,0.5
48.2118,-54.1041,1.67208,0.326559,5.26137,2,0.5
32.5415,-70.0995,0.189879,0.0459099,5.12114,3,0.5
55.2718,-36.7484,-1.16202,0.00236961,0.998588,4,0.5
25.6474,-42.0565,-2.62408,0.132389,4.72699,0,0.6
-19.1151,-83.7554,0.459638,-0.000709086,5.35308,1,0.6
48.1493,-53.5978,1.7147,0.318465,4.94179,2,0.6
33.0441,-70.0012,0.196845,0.0627976,5.12127,3,0.6
55.3163,-36.8512,-1.16197,0.00104955,1.24138,4,0.6
25.2412,-42.2917,-2.60989,0.108215,4.6617,0,0.7
-18.6384,-83.5195,0.459591,8.32084e-06,5.28518,1,0.7
48.0711,-53.1224,1.75265,0.291606,4.69474,2,0.7
33.5449,-69.8992,0.205435,0.0714636,5.10037,3,0.7
55.3703,-36.9759,-1.16196,-6.57231e-05,1.47774,4,0.7
24.8405,-42.531,-2.5965,0.120247,4.67201,0,0.8
-18.1659,-83.2856,0.459645,0.000801862,5.259,1,0.8
47.9804,-52.6714,1.78529,0.261155,4.50679,2,0.8
